System,Start,End,Region,Latitude,Longitude,Historical Epoch,Evidence Strength,Characteristics,Governance Type,Belief System,Gender Roles,Economic Base,Succession Method,Collapse Cause,Recorded By,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes,succession_changes,succ_canon,L,D0,EDR,SAP,L_D0
Persian Satrapy System,-550,-330,Iran,32.4,53.7,Iron Age,5.0,Regional governors (satraps) under King of Kings,Imperial Bureaucracy,Zoroastrianism,Male nobles,Royal Road taxes,Appointment,Alexander's conquest,Herodotus,0.75,0.8,0.3,0.2,0.2,0.2,0.85,0.75,none,tribute,5,5,conquest,False,2,"Already hand-coded in extended dataset as Satrapy System — this is the same entry from v2. Correcting to match. High A (royal road, satrap reports), high S (King of Kings), low EDR.",,appointment,0.85,0.2,0.20000000000000004,0.6166666666666667,0.17
Roman Republic,-509,-27,Italy,41.9,12.5,Iron Age,5.0,"Mixed government with consuls, senate, and assemblies",Mixed Constitution,Roman polytheism,Male patricians,Slave plantations,Elective,Imperialism,Cicero,0.45,0.65,0.7,0.4,0.5,0.4,0.7,0.65,none,land/patron,4,5,autocracy,False,3,"The Roman transition from Republic to Empire is a textbook lock-in sequence: P (competitive politics) generates military S, which then eliminates D and R.",elective->hereditary (-27): P_to_S — Octavian concentration of imperium; cursus honorum competition generates military S that eliminates D,elective,0.7,0.5,0.43333333333333335,0.6,0.35
Athenian Democracy,-508,-322,Greece,37.9,23.7,Iron Age,5.0,Direct citizen rule with sortition and ostracism,Direct Democracy,Greek polytheism,Male citizens only,Olive trade,Lottery,Macedonian conquest,Thucydides,0.15,0.45,0.85,0.65,0.85,0.7,0.55,0.55,medium,citizenship,3,1,conquest,False,2,"Distinct from generic Greek Democracy entry. P very high: politics as competitive performance (rhetoric, drama, courts). D high via ostracism (institutionalised D against dangerous individuals). E moderate: metics can leave, citizens less so.",elective->appointment (-411): external_shock — Sicilian Expedition disaster enables Council of 400 | appointment->elective (-403): elite_reform — Thrasybulus restoration; pre-existing civic D memory enables rapid reversal | elective->appointment (-322): external_shock — Macedonian conquest; Demetrius of Phalerum installed,elective,0.55,0.85,0.7333333333333334,0.48333333333333334,0.4675
Qin Legalism,-221,-206,China,34.2,108.9,Iron Age,5.0,Standardized totalitarianism with collective punishment,Totalitarian Autocracy,Legalism,Male bureaucrats,Millet farming,Hereditary,Peasant revolts,Sima Qian,0.95,0.9,0.1,0.05,0.0,0.0,0.9,0.8,none,coercion/land,4,4,revolution,False,2,Maximum lock-in. Collective punishment eliminates D at household level. Standardised weights/script/axles = extreme L and I. Shorter than any dynasty: fragility at maximum SAP confirmed by near-immediate collapse.,hereditary->appointment (-206): collapse — Chen Sheng rebellion; Han adopts modified Legalist admin with merit overlay,hereditary,0.9,0.0,0.016666666666666666,0.65,0.0
Mayan Ajaw System,250,900,Mesoamerica,17.2,-89.6,Classical,5.0,Divine kings competing via calendar rituals and wars,Ritual Kingship,Maya religion,Male rulers,Cacao trade,Hereditary,Drought,Codices,0.7,0.6,0.85,0.3,0.25,0.25,0.6,0.65,medium,ritual/tribute,3,2,abandonment/climate,False,2,"High P (ritual performance IS governance), but also high S (divine king). A significant via glyphic records and calendar. Not the auto-coded mid values. Classic Maya is extreme P not suppressed P.",,hereditary,0.6,0.25,0.26666666666666666,0.7166666666666667,0.15
Gupta Golden Age,320,550,India,25.6,85.1,Classical,5.0,Decentralized Hindu renaissance under nominal emperors,Cultural Hegemony,Hinduism,Male brahmins,Spice trade,Hereditary,Hun invasions,Kalidasa,0.45,0.55,0.5,0.4,0.3,0.45,0.5,0.5,low,land,4,4,fragmentation,False,2,"Genuinely decentralised: Gupta emperors ruled through existing local structures. Cultural florescence = high R (Buddhism, mathematics, drama all flourishing simultaneously). Auto-code underestimated EDR. EDR revised after reliability exercise: caste system constraints on E, D, R were underweighted in original coding. E=0.40 (caste mobility very limited), D=0.30 (Brahmanical authority hard to refuse), R=0.45 (cultural florescence is real but within caste constraints).",,hereditary,0.5,0.3,0.3833333333333333,0.5,0.15
Byzantine Theme System,680,1204,Turkey,41,28.9,Medieval,5.0,Farmer-soldier provinces with military governors,Military Agrarianism,Orthodox Christianity,Male strategoi,Wheat/silk,Appointment,Crusader sack,Anna Komnene,0.7,0.8,0.45,0.2,0.2,0.2,0.7,0.75,none,land/military,4,4,conquest,False,2,High A (theme system is administrative innovation — military-agricultural census). High S (emperor). Low EDR. Auto-code was far too generous — this is a centralising military-bureaucratic state. P revised to 0.45 after reliability exercise.,,appointment,0.7,0.2,0.20000000000000004,0.65,0.13999999999999999
Venetian Republic,697,1797,Italy,45.4,12.3,Medieval,5.0,Oligarchic merchant state with elaborate election lotteries,Aristocratic Republic,Catholicism,Male patricians,Spice trade,Sortition,Napoleon,Machiavelli,0.35,0.7,0.7,0.55,0.6,0.5,0.75,0.75,none,trade/citizenship,3,2,conquest,False,2,The elaborate ballot systems (ballotta) are institutionalised P. High A via trade records and state archives. D moderate: councils constrain Doge but citizens have limited voice. More A and less E than auto-code.,,elective,0.75,0.6,0.5499999999999999,0.5833333333333333,0.44999999999999996
Viking Law Speakers,800,1200,Scandinavia,61,10,Medieval,5.0,Itinerant judges memorizing tribal laws at Things,Oral Jurisprudence,Norse paganism,Male lawspeakers,Fish/iron,Appointment,Christianization,Sagas,0.25,0.1,0.55,0.8,0.75,0.7,0.3,0.1,medium,honour,2,3,transition,False,2,"High E (Viking mobility is definitional). Oral law = low I but meaningful D (law-speaker recites, community validates). Auto-code was close. Confidence 2 — this is a functional dimension of the broader Norse Thing system.",,appointment,0.3,0.75,0.75,0.3,0.22499999999999998
Holy Roman Imperial Diarchy,800,1806,Central Europe,50.1,8.7,Medieval,5.0,Elective emperor + prince-bishop power-sharing,Decentralized Elective Empire,Catholicism,Male rulers,Manorialism,Elective,Napoleon,Voltaire,0.35,0.5,0.6,0.5,0.5,0.55,0.55,0.6,low,land/law,4,4,dissolution,False,2,The HRE is less centralised than the auto-code suggests. S is low (emperor genuinely constrained by princes). P high (competitive election of emperor). R higher than auto-code: the constitutional complexity allowed novel institutional arrangements. Corrects toward our hand-coded Holy Roman Empire entry.,,elective,0.55,0.5,0.5166666666666667,0.48333333333333334,0.275
Khmer Devaraja,802,1431,Cambodia,13.4,103.8,Medieval,5.0,Hydraulic empire where kings embodied Hindu gods,Divine Kingship,Hindu-Buddhism,Male god-kings,Rice farming,Hereditary,Thai invasion,Zhou Daguan,0.85,0.6,0.3,0.1,0.1,0.1,0.8,0.5,none,land/ritual,5,4,abandonment/drought,False,3,The hydraulic state: A is built around irrigation management. High L via rice surplus. Collapse linked to climate stress hitting the hydraulic infrastructure.,,hereditary,0.8,0.1,0.10000000000000002,0.5833333333333334,0.08000000000000002
Chola Naval Assemblies,850,1279,India,10.5,79.5,Medieval,5.0,Seafaring corporations with elected admiral-governors,Thalassocratic Meritocracy,Hinduism,Male merchants,Pepper/textiles,Election,Pandyan resurgence,Rajaraja inscriptions,0.55,0.55,0.55,0.45,0.55,0.5,0.6,0.5,low,tribute,4,3,fragmentation,False,2,Ur assemblies (local councils) gave genuine D at village level even under imperial structure. Naval corporations (nagarams) had elected leadership — P meaningful. More balanced than auto-code mid-values.,,elective,0.6,0.55,0.5,0.55,0.33
Icelandic Commonwealth,930,1262,Iceland,64,-19,Medieval,5.0,Farmer-lawyers resolving disputes through saga precedents,Literary Anarchy,Norse Christianity,Gender-mixed,Fish/wool,Consensus,Norwegian takeover,Njáls saga,0.1,0.2,0.5,0.85,0.8,0.75,0.3,0.2,medium,honour,2,2,annexation,True,2,"No state, no executive — the goðar are private contractors of dispute resolution. E near-maximum (emigration is normal). D encoded: you can simply refuse arbitration (at reputational cost). High R: institutional innovation is the main political activity (sagas are governance records).",,consensus,0.3,0.8,0.7999999999999999,0.26666666666666666,0.24
Icelandic Althing,930,1799,Iceland,64.1,-21.9,Medieval,5.0,World's oldest parliamentary body with outdoor deliberations,Arctic Democracy,Norse paganism,Male landowners,Fishing,Elective,Danish rule,Njáls saga,0.15,0.25,0.55,0.85,0.8,0.75,0.3,0.25,high,honour,2,2,colonial absorption,True,2,Same tradition as Commonwealth but with more institutionalised assembly. Seasonality high — the Althing meeting IS the governance event. Very high EDR. Auto-code significantly underestimated.,,elective,0.3,0.8,0.7999999999999999,0.3166666666666667,0.24
Althingi Carbon-Neutral Parliament,930,Present,Iceland,64.1,-21.9,Medieval-Modern,5.0,World's oldest parliament now fully geothermal-powered,Sustainable Democracy,Secularism,Gender-neutral,Geothermal energy,Elections,None (ongoing),Katrín Jakobsdóttir,0.2,0.75,0.6,0.8,0.85,0.75,0.4,0.85,low,none,2,1,ongoing,False,2,"Modern Iceland: high I (e-government), meaningful D (referendums), high E (small open economy). The geothermal energy framing is superficial — code the governance structure, not the energy policy.",,elective,0.4,0.85,0.7999999999999999,0.5166666666666666,0.34
Manx Tynwald,979,Present,Isle of Man,54.2,-4.5,Medieval,5.0,Continuous parliamentary assembly with outdoor moot hill,Archaic Democracy,Norse Christianity,Male landowners,Herring fishing,Elective,None (ongoing),Tynwald records,0.25,0.55,0.55,0.75,0.75,0.65,0.45,0.65,medium,none,2,1,ongoing,False,2,Continuous parliament with outdoor Tynwald Hill reading (high seasonality for the ceremony). Crown dependency: genuine D via legislative autonomy from UK. E high — small jurisdiction.,,elective,0.45,0.75,0.7166666666666667,0.45,0.3375
Norman Feudal Domesday,1086,1154,England,51.5,-0.1,Medieval,5.0,Centralized land census enforcing knight-service quotas,Bureaucratic Feudalism,Catholicism,Male barons,Wool tax,Appointment,Anarchy,William I,0.75,0.8,0.25,0.15,0.15,0.15,0.8,0.75,none,land,4,3,transition,False,2,Domesday Book is the highest pre-modern I event in English history — total legibility exercise. S high (conquest state). D near zero. Auto-code had this right but confidence was 1.,appointment->elective (1215): elite_reform — Magna Carta; baronial coalition coerces John; customary D enables constraint | elective->elective (1295): elite_reform — Model Parliament; commons added to elected representation,appointment,0.8,0.15,0.15,0.6,0.12
Venetian Arsenal Guilds,1104,1797,Italy,45.4,12.3,Medieval,5.0,State-run shipyard with worker-patriot collectives,Industrial Corporatism,Catholicism,Male artisans,Naval production,Promotion,Napoleon,Doge's decrees,0.5,0.8,0.5,0.45,0.45,0.4,0.7,0.6,none,trade/status,3,1,conquest,False,2,Arsenal workers (arsenalotti) had collective identity and state privileges — more D than typical guilds. Embedded in Venetian Republic: A high via state management. Narrower entry than Venetian Republic proper.,,appointment,0.7,0.45,0.43333333333333335,0.6,0.315
Khmer Water Mandala,1113,1177,Cambodia,13.4,103.8,Medieval,5.0,Hydraulic city-temple network under god-kings,Hydro-Theocracy,Hindu-Buddhism,Male engineers,Rice farming,Hereditary,Cham invasion,Zhou Daguan,0.8,0.65,0.3,0.1,0.1,0.1,0.8,0.55,none,land/ritual,4,3,conquest,False,2,Hydraulic state: A built around irrigation control. High S (devaraja). Very low EDR. Auto-code had S too low and EDR too high. This is essentially the same system as our hand-coded Khmer Devaraja entry — should align closely.,,hereditary,0.8,0.1,0.10000000000000002,0.5833333333333334,0.08000000000000002
Benin Oba Divine Kingship,1200,1897,Nigeria,6.3,5.6,Medieval,5.0,Sacred monarchy with guild-based bronze bureaucracy,Theocratic Bureaucracy,Benin religion,Male obas,Ivory/Bronze,Hereditary,British invasion,Bronze plaques,0.8,0.55,0.3,0.15,0.1,0.15,0.55,0.4,none,tribute/ritual,4,3,conquest,False,2,Oba is divine sovereign (high S). Guild-based bronze casting is proto-bureaucracy (A moderate). D extremely low — Oba's word is sacred law. Auto-code was close but EDR too generous.,,hereditary,0.55,0.1,0.13333333333333333,0.55,0.05500000000000001
Magna Carta Baronage,1215,1297,England,51.8,-0.1,Medieval,5.0,Feudal contract limiting royal power via council,Feudal Constitutionalism,Catholicism,Male barons,Wool trade,Inheritance,Centralization,Matthew Paris,0.5,0.4,0.55,0.5,0.55,0.55,0.6,0.5,none,land,3,3,transition,False,2,Magna Carta IS a D mechanism — formalises baronial right to refuse royal overreach. S constrained (not eliminated). P high: competitive baronial politics. EDR higher than auto-code. Short-lived as a pure form but influential.,elective->hereditary (1265): collapse — Second Barons War; Henry III reasserts hereditary prerogative after de Montfort defeat,hereditary,0.6,0.55,0.5333333333333333,0.4833333333333334,0.33
Teutonic Ordensstaat,1226,1525,Poland,54,19,Medieval,5.0,Crusader-monk state ruling via brick castle networks,Military Theocracy,Catholicism,Male knights,Amber trade,Election,Polish secularization,Chronicles,0.75,0.65,0.25,0.15,0.15,0.15,0.6,0.55,none,military/ritual,3,3,transition,False,2,"Military-monastic state: high S (Grand Master), significant A (castle administration, land records). D near zero for subjects. Auto-code had it right. Elective Grand Master is P but within very narrow pool.",,elective,0.6,0.15,0.15,0.5499999999999999,0.09
Golden Horde Yam System,1240,1502,Russia/Kazakhstan,50,60,Medieval,5.0,Mounted postal network as de facto administration,Equestrian Bureaucracy,Islam/Tengrism,Male riders,Fur/tribute,Appointment,Disintegration,Rashid al-Din,0.75,0.65,0.55,0.25,0.2,0.2,0.6,0.55,medium,tribute/military,4,5,fragmentation,False,2,Yam (postal relay) is an administrative innovation that drives A upward. S high (Khan). Kurultai tradition gives some P (competitive leadership selection). EDR low but slightly higher than Qin — subjects had more residual customary freedom.,,appointment,0.6,0.2,0.21666666666666667,0.65,0.12
Andorran Co-Principality,1278,Present,Andorra,42.5,1.5,Medieval,5.0,Unique diarchy with French president + Spanish bishop as co-rulers,Parliamentary Diarchy,Catholicism,Gender-neutral,Tourism/Banking,Election,None (ongoing),Paréage,0.3,0.55,0.45,0.75,0.7,0.65,0.4,0.65,none,none,1,1,ongoing,False,2,"Unique constitutional arrangement with genuine D (co-princes balance each other, citizens can appeal to either). High E (tiny jurisdiction, open borders). Auto-code underestimated EDR significantly.",,elective,0.4,0.7,0.7000000000000001,0.43333333333333335,0.27999999999999997
Venetian Merchant Oligarchy,1297,1797,Italy,45.4,12.3,Medieval,5.0,Wealth-qualified patricians ruling via elaborate lotteries,Plutocratic Republic,Catholicism,Male elites,Spice trade,Sortition,Napoleon,Machiavelli,0.3,0.75,0.7,0.5,0.55,0.45,0.75,0.8,none,trade/citizenship,3,2,conquest,False,2,"Late Venetian Republic: extremely high A (state archives, trade records, intelligence network). The Serrata (1297) locks the patriciate but within it P is very high via elaborate ballot systems. More A than earlier Venetian entries.",elective->elective (1297): elite_reform — Serrata closes Great Council; sortition retained but eligibility permanently restricted; D decreases within type,elective,0.75,0.55,0.5,0.5833333333333334,0.41250000000000003
Hanseatic League,1356,1669,Northern Europe,54.3,10.1,Medieval,5.0,Merchant guild federation with extraterritorial trading posts,Commercial Confederation,Catholicism,Male merchants,Timber/amber,Election,Nation-states,Adam of Bremen,0.25,0.5,0.65,0.7,0.65,0.65,0.7,0.6,low,trade,3,4,dissolution,False,2,"Federation without sovereignty — no army, no territory. High E by design (cities can leave). D high: member cities retain veto. P high: commercial competition drives governance. Significantly more EDR than auto-code.",,elective,0.7,0.65,0.6666666666666666,0.4666666666666666,0.45499999999999996
Rhenish Hanseatic Cities,1356,1669,Germany,51.2,6.8,Medieval,5.0,Merchant oligarchies with shared trade laws,Urban Commercial League,Catholicism,Male merchants,Textiles,Election,Thirty Years' War,Hanseatic records,0.35,0.55,0.6,0.6,0.6,0.55,0.65,0.6,none,trade,3,3,fragmentation,False,2,Similar to Hanseatic League but more territorially rooted — slightly less E and more S than the full League. Auto-code too low on EDR.,,elective,0.65,0.6,0.5833333333333334,0.5,0.39
Ming Yellow Register Census,1368,1644,China,32.1,118.8,Early Modern,5.0,Population registers enforcing corvée labor quotas,Statistical Autocracy,Neo-Confucianism,Male heads,Rice/tax,Hereditary,Li Zicheng revolt,Ming Veritable Records,0.85,0.85,0.2,0.1,0.05,0.1,0.9,0.85,none,land/coercion,5,4,revolution,False,2,"The Yellow Register is one of history's most ambitious L+I projects: every household, every plot, every obligation recorded. Near-maximum A. D near zero. Peasant revolt collapse is the fragile-regime prediction confirmed.",,hereditary,0.9,0.05,0.08333333333333333,0.6333333333333333,0.045000000000000005
Joseon Confucian Bureaucracy,1392,1910,Korea,37.5,127,Early Modern,5.0,Meritocratic civil service under royal secretariats,Neo-Confucian State,Confucianism,Male yangban,Rice/silk,Exams,Japanese annexation,Sejong the Great,0.75,0.85,0.5,0.15,0.15,0.15,0.8,0.85,none,land/exam,4,3,annexation,False,2,"Korean Confucian state: very high A (extensive censorate, exam records). Sarim scholars provide limited D through remonstrance tradition. Auto-code significantly underestimated SAP and overestimated EDR.",,appointment,0.8,0.15,0.15,0.7000000000000001,0.12
Aztec Triple Alliance,1428,1521,Mesoamerica,19.4,-99.1,Medieval,5.0,Military confederacy with flower wars and sacrifice,Tributary Stratocracy,Aztec religion,Male warriors,Maize/chocolate,Elective,Cortés,Bernardino de Sahagún,0.8,0.7,0.75,0.2,0.2,0.2,0.85,0.7,low,land/tribute/ritual,5,4,conquest,False,3,Near-maximum SAP case with partial E preservation via calpulli system. The combination of high S+A+P with ritual warfare as population control is distinctive.,,elective,0.85,0.2,0.20000000000000004,0.75,0.17
Ottoman Millet System,1453,1922,Turkey,41,28.9,Early Modern,5.0,Religious autonomies under centralized Muslim rule,Confessional Autonomy,Sunni Islam,Male sultans,Silk/tax farming,Dynastic,Nationalism,Evliya Çelebi,0.75,0.8,0.55,0.25,0.2,0.25,0.8,0.8,none,law/religion,5,5,dissolution,False,2,Matches our hand-coded Ottoman Empire entry. The millet system preserves partial E within religious communities (you can appeal to your own millet courts) but overall EDR is low. Auto-code had it roughly right for EDR but SAP too low.,,hereditary,0.8,0.2,0.2333333333333333,0.7000000000000001,0.16000000000000003
Habsburg Composite Monarchy,1526,1918,Central Europe,48.2,16.4,Early Modern,5.0,Dynastic union of disparate kingdoms under one crown,Personal Union,Catholicism,Male emperors,Mining,Hereditary,Nationalism,Metternich,0.55,0.65,0.55,0.4,0.4,0.4,0.65,0.65,none,land/law,4,4,dissolution,False,2,"The composite structure gives more EDR than a unitary empire: each kingdom retains its own laws, estates, and customs. R meaningful — novel constitutional arrangements constantly negotiated. Auto-code underestimated EDR. P revised to 0.55 after reliability exercise.",,hereditary,0.65,0.4,0.4000000000000001,0.5833333333333334,0.26
Dutch Republic States-General,1581,1795,Netherlands,52.1,5.1,Early Modern,5.0,Merchant oligarchy with provincial veto powers,Confederal Oligarchy,Calvinism,Male regents,Tulips/slaves,Appointment,French invasion,Hugo Grotius,0.3,0.7,0.65,0.6,0.6,0.55,0.75,0.75,none,trade,3,3,conquest,False,2,"High A (VOC records, state debt instruments, census). P high (regent oligarchy competition). E meaningful — commercial republic, capital can move. D via provincial veto (any province can block). Significantly more EDR than auto-code.",,appointment,0.75,0.6,0.5833333333333334,0.5499999999999999,0.44999999999999996
Dahomey Mino Amazon State,1600,1894,Benin,9.3,2.3,Early Modern,5.0,All-female regiments (Mino) with king-veto power,Gynocratic Stratocracy,Vodun,Female soldiers,Palm oil,Appointment,French conquest,French archives,0.8,0.55,0.4,0.1,0.15,0.15,0.55,0.35,none,military,3,2,conquest,False,2,The Mino (Agojie) are institutionalised female sovereignty — unique D mechanism: king's decisions required Mino ratification in some accounts. S high but qualified. Auto-code underestimated A (Dahomey had sophisticated census and trade records).,,appointment,0.55,0.15,0.13333333333333333,0.5833333333333334,0.0825
Qing Dynasty Banner System,1644,1912,China,39.9,116.4,Early Modern,5.0,Ethnic-military caste hierarchy under Confucian bureaucracy,Ethnocratic Meritocracy,Confucianism,Male bannermen,Rice/silk,Hereditary,Republicanism,Veritable Records,0.8,0.85,0.4,0.1,0.1,0.1,0.85,0.85,none,land/status,5,4,revolution,False,2,"High SAP: banner system stratifies society (A), Qing emperor has high S, examination competition is P. I very high (Yellow Registers continued, expanded). EDR near-zero. Taiping Rebellion is fragile-regime collapse.",,hereditary,0.85,0.1,0.10000000000000002,0.6833333333333332,0.085
British Parliamentary System,1689,Present,UK,51.5,-0.1,Modern,5.0,Constitutional monarchy with party-based ministerial rule,Representative Democracy,Protestantism,Male-dominated,Industrial,Elections,None (ongoing),Walter Bagehot,0.2,0.75,0.75,0.8,0.85,0.7,0.75,0.9,none,none,5,3,ongoing,False,2,"High A (welfare state bureaucracy, electoral register). High P (competitive party politics). High EDR: exit (emigration legal and common), D (elections, judicial review, free press), R (constitutional conventions can be changed). Auto-code significantly underestimated A and EDR.",,elective,0.75,0.85,0.7833333333333332,0.5666666666666667,0.6375
Napoleonic Meritocracy,1799,1815,France,48.9,2.3,Modern,5.0,Technocratic empire with standardized exams and titles,Revolutionary Technocracy,Secularism,Male elites,War plunder,Appointment,Coalition armies,Napoleon,0.9,0.9,0.4,0.1,0.05,0.05,0.8,0.8,none,conscription/law,4,4,conquest,False,2,"Napoleon as sovereign (very high S). Extensive A (Code Napoléon, prefect system, cadastral survey). D near zero despite meritocratic rhetoric — opposition = exile or death. Auto-code had R=0.05 which is right.",,appointment,0.8,0.05,0.06666666666666667,0.7333333333333334,0.04000000000000001
Swiss Consensus Democracy,1848,Present,Switzerland,46.8,8.2,Modern,5.0,Direct democracy with rotating executive and veto points,Consociationalism,Protestantism,Gender-neutral,Finance/tech,Rotation,None (ongoing),Swiss Constitution,0.15,0.65,0.55,0.85,0.9,0.8,0.65,0.8,none,none,3,2,ongoing,False,2,"Maximum D: mandatory referendums, citizen initiative, cantonal veto. Very high E. R high: constitutional changes routine via referendum. More EDR than auto-code. A higher than auto-code — sophisticated federal bureaucracy.",,rotation,0.65,0.9,0.85,0.45,0.5850000000000001
